,zip,address1,city,company_status,full_profile.names,fetch_url,full_profile.email,full_profile.description,full_profile.employees,full_profile.employees_range,full_profile.industry,full_profile.facebook_account.url,full_profile.linkedin_account.url,full_profile.twitter_account.url,full_profile.last_funding_round_amount,full_profile.naics_code,full_profile.sic_code,full_profile.website,full_profile.orb_num,full_profile.revenue,full_profile.revenue_range,full_profile.total_funding,full_profile.webdomain,full_profile.technologies,full_profile.year_founded,entity_type,is_standalone_company,api_link
0,01001,,,active,['FiboLab'],https://api.orb-intelligence.com/3/fetch/10946544/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,"FiboLab - forex trading software, creates indicators, expert advisors and scripts (for metatrader) using well known theories and algorithms and it own.",,1 - 10,Computer Software,https://www.facebook.com/pages/FiboLab/217422394942524,https://www.linkedin.com/company/fibolab,https://twitter.com/Fibolab,,334614,3652,http://fibolab.com,10946544.0,,0 - 1M,,fibolab.com,"[{'name': 'AddThis'}, {'name': 'Google Analytics'}]",,company,1.0,
1,01002,433 WEST ST,Amherst,active,"['REGIONAL ECONOMIC MODELS INC', 'REMI', 'REGIONAL ECONOMIC MODELS, INC']",https://api.orb-intelligence.com/3/fetch/11954343/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,fred@remi.com,"Founded in 1980, Regional Economic Models, Inc. REMI, offers PI+, leading economic-forecasting and policy-analysis model, and TranSight, a tool for evaluating the total economic effects of transportation improvements. Building on our extensive background in model development, we are uniquely qualified to support our clients with Consulting Services.",35.0,10 - 50,Computer Software,,https://www.linkedin.com/company/remi,,,541511,7371,http://remi.com,11954343.0,,1M - 10M,,remi.com,"[{'name': 'CloudFlare'}, {'name': 'Google Tag Manager'}, {'name': 'Varnish'}, {'name': 'WordPress'}]",1980,company,1.0,
2,01002,101 UNIVERSITY DR,Amherst,active,"['Lexalytics', 'Lexalytics Inc', 'Lexalytics, Inc.']",https://api.orb-intelligence.com/3/fetch/12499389/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,carl.lambrecht@lexalytics.com,Flexible natural language processing APIs and complete text analytics platform solutions for data analytics companies and data analyst teams.,23.0,10 - 50,Computer Software,https://www.facebook.com/pages/Lexalytics/124936814233570,https://www.linkedin.com/company/lexalytics-inc-,https://twitter.com/Lexalytics,,511210,7372,http://lexalytics.com,12499389.0,,1M - 10M,,lexalytics.com,"[{'name': 'Eloqua'}, {'name': 'Google Analytics'}, {'name': 'Google DoubleClick'}, {'name': 'Google Tag Manager'}, {'name': 'Pardot'}]",2003,company,0.0,
3,01002,6 UNIVERSITY DR,Amherst,active,"['Dexrex', 'Dexrex, LLC']",https://api.orb-intelligence.com/3/fetch/11101723/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,adunham@dexrex.com,See related links to what you are looking for.,,10 - 50,Computer Software,,https://www.linkedin.com/company/dexrex,,,54151,737,http://dexrex.com,11101723.0,,1M - 10M,,dexrex.com,[{'name': 'WordPress'}],2005,company,1.0,
4,01002,48 N PLEASANT ST,Amherst,active,"['Semantria', 'Semantria LLC']",https://api.orb-intelligence.com/3/fetch/11943979/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,info@semantria.com,Flexible natural language processing APIs and complete text analytics platform solutions for data analytics companies and data analyst teams.,,10 - 50,Computer Software,http://www.facebook.com/Semantria,https://www.linkedin.com/company/semantria,https://twitter.com/semantria,,54151,737,http://semantria.com,11943979.0,,1M - 10M,,semantria.com,"[{'name': 'Eloqua'}, {'name': 'Google Analytics'}, {'name': 'Google DoubleClick'}, {'name': 'Google Tag Manager'}, {'name': 'Pardot'}]",2011,company,0.0,
5,01002,48 N PLEASANT ST,Amherst,active,"['Clickshare Service Corp', 'Clickshare Service Corporation', 'Clickshare Service Corp.']",https://api.orb-intelligence.com/3/fetch/60785403/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,corp@clickshare.com,"User registration, authentication, access control, subscription management, item purchase & online print subscription capture for newspaper & media companies.",,10 - 50,Computer Software,https://www.facebook.com/clicksharenews,https://www.linkedin.com/company/clickshare-service-corporation,https://twitter.com/clicksharenews,3200000.0,54151,737,http://clickshare.com,60785403.0,,1M - 10M,3700000.0,clickshare.com,[{'name': 'Google Analytics'}],1997,company,1.0,
6,01027,ONE COTTAGE ST,Easthampton,active,"['InFlight', 'INFLIGHT CORPORATION', 'InFlight Corporation Inc.']",https://api.orb-intelligence.com/3/fetch/60736060/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,"Transform your applications and the way you attract, hire, and empower talent with the InFlight Employee Experience Platform (EXP).",,10 - 50,Computer Software,,https://www.linkedin.com/company/inflight-corporation,https://twitter.com/OneFrontDoor,,54151,737,http://inflightintegration.com,60736060.0,,1M - 10M,,inflightintegration.com,"[{'name': 'Google Tag Manager'}, {'name': 'Gravatar'}, {'name': 'WordPress'}]",2013,company,1.0,
7,01027,116 PLEASANT ST,Easthampton,active,"['Atalasoft', 'Atalasoft Inc', 'Atalasoft, Inc.']",https://api.orb-intelligence.com/3/fetch/60859059/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,info@atalasoft.com,"Provider of developer SDKs to enable applications to work with all document formats that need document viewing, capture, conversion, and processing.",20.0,10 - 50,Computer Software,https://www.facebook.com/Atalasoft,,https://twitter.com/atalasoft,,511210,7372,http://atalasoft.com,60859059.0,,1M - 10M,,atalasoft.com,"[{'name': 'CloudFlare'}, {'name': 'Google Tag Manager'}, {'name': 'MaxCDN'}]",2000,company,0.0,
8,01028,80 DENSLOW RD,East Longmeadow,active,"['PatientEDU', 'PATIENT EDU, LLC', 'Patient Edu, LLC']",https://api.orb-intelligence.com/3/fetch/11494989/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,10 - 50,Hospital & Health Care,,https://www.linkedin.com/company/patientedu,,,62,80,http://patientedu.com,11494989.0,,1M - 10M,,patientedu.com,[],2002,company,1.0,
9,01028,280 N MAIN ST E,East Longmeadow,active,['GAW Labs LLC'],https://api.orb-intelligence.com/3/fetch/9788728/?api_key=c66c5dad-395c-4ec6-afdf-7b78eb94166a,,,,1 - 10,Computer Software,,,,,54151,737,http://gawlabs.com,9788728.0,,0 - 1M,,gawlabs.com,[{'name': 'Google Analytics'}],2013,company,1.0,
